,location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations
180475,World,22/02/20,78608.0,1762.0,2459.0,207.0,0.0,0.0,0.0,0.0,0.0
180476,World,23/02/20,78990.0,382.0,2470.0,11.0,0.0,0.0,0.0,0.0,0.0
180477,World,24/02/20,79558.0,568.0,2630.0,160.0,0.0,0.0,0.0,0.0,0.0
180478,World,25/02/20,80412.0,854.0,2710.0,80.0,0.0,0.0,0.0,0.0,0.0
180479,World,26/02/20,81385.0,973.0,2771.0,61.0,0.0,0.0,0.0,0.0,0.0
180480,World,27/02/20,82730.0,1345.0,2814.0,43.0,0.0,0.0,0.0,0.0,0.0
180481,World,28/02/20,84154.0,1424.0,2873.0,59.0,0.0,0.0,0.0,0.0,0.0
180482,World,29/02/20,86030.0,1876.0,2943.0,70.0,0.0,0.0,0.0,0.0,0.0
180483,World,01/03/20,88410.0,2380.0,2997.0,54.0,0.0,0.0,0.0,0.0,0.0
180484,World,02/03/20,90393.0,1983.0,3086.0,89.0,0.0,0.0,0.0,0.0,0.0
180485,World,03/03/20,93004.0,2611.0,3160.0,74.0,0.0,0.0,0.0,0.0,0.0
180486,World,04/03/20,95329.0,2325.0,3255.0,95.0,0.0,0.0,0.0,0.0,0.0
180487,World,05/03/20,98046.0,2717.0,3348.0,93.0,0.0,0.0,0.0,0.0,0.0
180488,World,06/03/20,101976.0,3930.0,3461.0,113.0,0.0,0.0,0.0,0.0,0.0
180489,World,07/03/20,106122.0,4146.0,3566.0,105.0,0.0,0.0,0.0,0.0,0.0
180490,World,08/03/20,109972.0,3850.0,3807.0,241.0,0.0,0.0,0.0,0.0,0.0
180491,World,09/03/20,114299.0,4327.0,3997.0,190.0,0.0,0.0,0.0,0.0,0.0
180492,World,10/03/20,119108.0,4809.0,4273.0,276.0,0.0,0.0,0.0,0.0,0.0
180493,World,11/03/20,126628.0,7548.0,4618.0,345.0,0.0,0.0,0.0,0.0,0.0
180494,World,12/03/20,133383.0,6755.0,4930.0,312.0,0.0,0.0,0.0,0.0,0.0
180495,World,13/03/20,146673.0,13290.0,5420.0,490.0,0.0,0.0,0.0,0.0,0.0
180496,World,14/03/20,157617.0,10944.0,5843.0,423.0,0.0,0.0,0.0,0.0,0.0
180497,World,15/03/20,168876.0,11259.0,6491.0,648.0,0.0,0.0,0.0,0.0,0.0
180498,World,16/03/20,183394.0,14518.0,7178.0,687.0,0.0,0.0,0.0,0.0,0.0
180499,World,17/03/20,198691.0,15297.0,7988.0,810.0,0.0,0.0,0.0,0.0,0.0
180500,World,18/03/20,216347.0,17656.0,8904.0,916.0,0.0,0.0,0.0,0.0,0.0
180501,World,19/03/20,243463.0,27116.0,10014.0,1112.0,0.0,0.0,0.0,0.0,0.0
180502,World,20/03/20,273007.0,29546.0,11502.0,1488.0,0.0,0.0,0.0,0.0,0.0
180503,World,21/03/20,305422.0,32421.0,13231.0,1730.0,0.0,0.0,0.0,0.0,0.0
180504,World,22/03/20,339895.0,34473.0,14919.0,1688.0,0.0,0.0,0.0,0.0,0.0
180505,World,23/03/20,382799.0,42904.0,16886.0,1967.0,0.0,0.0,0.0,0.0,0.0
180506,World,24/03/20,424883.0,42099.0,19201.0,2315.0,0.0,0.0,0.0,0.0,0.0
180507,World,25/03/20,475998.0,51115.0,22022.0,2821.0,0.0,0.0,0.0,0.0,0.0
180508,World,26/03/20,537412.0,61414.0,25058.0,3039.0,0.0,0.0,0.0,0.0,0.0
180509,World,27/03/20,601349.0,63937.0,28538.0,3480.0,0.0,0.0,0.0,0.0,0.0
