Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2018","2018","tonnes","74","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","862","Alfalfa meal and pellets","2018","2018","1000 US$","38","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2018","2018","tonnes","830","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","862","Alfalfa meal and pellets","2018","2018","1000 US$","81","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2018","2018","tonnes","355","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","231","Almonds shelled","2018","2018","1000 US$","1063","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2018","2018","tonnes","171","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","231","Almonds shelled","2018","2018","1000 US$","1633","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2018","2018","tonnes","1840","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","221","Almonds, with shell","2018","2018","1000 US$","3887","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2018","2018","tonnes","30","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","221","Almonds, with shell","2018","2018","1000 US$","63","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","1171","Animals live nes","2018","2018","1000 US$","1800","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","1171","Animals live nes","2018","2018","1000 US$","5","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","1169","Animals, live, non-food","2018","2018","1000 US$","347","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","1169","Animals, live, non-food","2018","2018","1000 US$","605","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2018","2018","tonnes","23676","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","711","Anise, badian, fennel, coriander","2018","2018","1000 US$","13079","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2018","2018","tonnes","2081","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","711","Anise, badian, fennel, coriander","2018","2018","1000 US$","4215","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","515","Apples","2018","2018","tonnes","30640","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","515","Apples","2018","2018","1000 US$","18671","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","515","Apples","2018","2018","tonnes","349","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","515","Apples","2018","2018","1000 US$","236","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","526","Apricots","2018","2018","tonnes","25369","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","526","Apricots","2018","2018","1000 US$","11207","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","526","Apricots","2018","2018","tonnes","248","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","526","Apricots","2018","2018","1000 US$","383","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","226","Areca nuts","2018","2018","tonnes","473","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","226","Areca nuts","2018","2018","1000 US$","424","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","572","Avocados","2018","2018","tonnes","5","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","572","Avocados","2018","2018","1000 US$","5","","Official data"
